SNo;Name;Symbol;Date;High;Low;Open;Close;Volume;Marketcap;Rank
8588;Binance Coin;BNB;17/08/2020;23.86;23.09;23.5;23.51;264606385.00;3395013043;4
8589;Binance Coin;BNB;18/08/2020;23.68;22.58;23.49;23.07;259152684.00;3331052285;4
8590;Binance Coin;BNB;19/08/2020;23.25;22.01;23.06;22.31;224754805.00;3221767589;4
8591;Binance Coin;BNB;20/08/2020;23.27;22.13;22.37;23.09;240389084.00;3334719466;4
8592;Binance Coin;BNB;21/08/2020;23.35;21.86;23.1;22.13;245533836.00;3195571930;4
8593;Binance Coin;BNB;22/08/2020;22.24;21.46;22.12;22.24;208053381.00;3211575905;4
8594;Binance Coin;BNB;23/08/2020;22.22;21.61;22.22;21.87;181970641.00;3158293019;4
8595;Binance Coin;BNB;24/08/2020;22.9;21.77;21.87;22.61;192633739.00;3264433403;4
8596;Binance Coin;BNB;25/08/2020;22.63;21.15;22.61;21.48;234877041.00;3101183769;4
8597;Binance Coin;BNB;26/08/2020;22.48;21.34;21.47;22.28;255812854.00;3216988911;4
8598;Binance Coin;BNB;27/08/2020;23.14;21.92;22.26;23.08;296206828.00;3333012206;4
8599;Binance Coin;BNB;28/08/2020;23.53;22.71;23.08;23.13;260086579.00;3340674193;4
8600;Binance Coin;BNB;29/08/2020;23.51;22.83;23.13;23.01;213897145.00;3322978734;4
8601;Binance Coin;BNB;30/08/2020;23.84;22.96;23.01;23.64;228141192.00;3414480811;4
8602;Binance Coin;BNB;31/08/2020;23.91;23.05;23.65;23.19;215511200.00;3349228654;4
8603;Binance Coin;BNB;1/09/2020;25.41;22.99;23.19;24.82;450200844.00;3584473534;4
8604;Binance Coin;BNB;2/09/2020;25.79;23.61;24.81;24.69;577817197.00;3565450183;4
8605;Binance Coin;BNB;3/09/2020;25.51;20.52;24.7;20.62;574956638.00;2977646779;4
8606;Binance Coin;BNB;4/09/2020;21.83;19.98;20.6;21.06;489923568.00;3040639911;4
8607;Binance Coin;BNB;5/09/2020;21.55;18.18;21.04;19.48;399969033.00;2812861769;4
8608;Binance Coin;BNB;6/09/2020;23.41;18.68;19.48;23.19;740680573.00;3348883884;4
8609;Binance Coin;BNB;7/09/2020;23.51;20.27;23.19;22.39;555588378.00;3233740277;4
8610;Binance Coin;BNB;8/09/2020;23.42;21.36;22.43;23.19;555422363.00;3348824083;4
8611;Binance Coin;BNB;9/09/2020;24.56;22.54;23.22;24.53;456284484.00;3542334928;4
8612;Binance Coin;BNB;10/09/2020;25.61;24.21;24.54;24.56;456365135.00;3546608927;4
8613;Binance Coin;BNB;11/09/2020;25.73;23.08;24.56;25.45;420689466.00;3675351150;4
8614;Binance Coin;BNB;12/09/2020;28.53;25.45;25.45;28.53;688007352.00;4119897328;4
8615;Binance Coin;BNB;13/09/2020;32.33;28.22;28.53;31.06;1144638251.00;4485069875;4
8616;Binance Coin;BNB;14/09/2020;33.49;29.17;31.1;31.18;1009392260.00;4502400574;4
8617;Binance Coin;BNB;15/09/2020;31.27;26.86;31.16;27.2;861821910.00;3928203643;4
8618;Binance Coin;BNB;16/09/2020;28.52;26.08;27.2;27.96;664539530.00;4038270839;4
8619;Binance Coin;BNB;17/09/2020;28.84;26.14;27.93;26.99;512578971.00;3897985086;4
8620;Binance Coin;BNB;18/09/2020;28.78;26.71;26.99;27.4;482149967.00;3956664775;4
8621;Binance Coin;BNB;19/09/2020;27.88;26.76;27.62;27.25;331216806.00;3935239344;4
8622;Binance Coin;BNB;20/09/2020;27.33;25.26;27.25;26.39;343197520.00;3811197212;4
8623;Binance Coin;BNB;21/09/2020;26.7;22.55;26.43;23.27;462503299.00;3360034461;4
8624;Binance Coin;BNB;22/09/2020;24.52;22.85;23.19;24.1;340023558.00;3480304977;4
8625;Binance Coin;BNB;23/09/2020;24.25;22.7;24.05;22.86;446713264.00;3300697550;4
8626;Binance Coin;BNB;24/09/2020;24.68;22.7;22.85;24.61;475917196.00;3554397706;4
8627;Binance Coin;BNB;25/09/2020;25.07;23.88;24.59;24.66;442583904.00;3561555011;4
8628;Binance Coin;BNB;26/09/2020;26.45;24.54;24.68;26.22;490827676.00;3786510684;4
8629;Binance Coin;BNB;27/09/2020;26.89;25.74;26.21;26.2;435755666.00;3783338709;4
8630;Binance Coin;BNB;28/09/2020;27.73;25.92;26.24;26.98;530311672.00;3896032265;4
8631;Binance Coin;BNB;29/09/2020;29;26.98;26.99;28.84;612454595.00;4165115470;4
8632;Binance Coin;BNB;30/09/2020;29.56;28.04;28.88;29.29;566560144.00;4229794764;4
8633;Binance Coin;BNB;1/10/2020;29.38;26.36;29.32;27.43;630087805.00;3961356701;4
8634;Binance Coin;BNB;2/10/2020;28.18;25.89;27.45;27.29;638940976.00;3940231194;4
8635;Binance Coin;BNB;3/10/2020;28.29;27.14;27.35;28.2;495908650.00;4072598561;4
8636;Binance Coin;BNB;4/10/2020;29.14;28.07;28.21;28.94;514574736.00;4179682323;4
8637;Binance Coin;BNB;5/10/2020;29.3;28.17;29.01;28.66;425642119.00;4138562603;4
8638;Binance Coin;BNB;6/10/2020;28.97;27.3;28.67;27.71;505088690.00;4002159704;4
8639;Binance Coin;BNB;7/10/2020;27.87;26.94;27.7;27.7;394557518.00;4000760079;4
8640;Binance Coin;BNB;8/10/2020;27.81;26.6;27.71;27.71;431553686.00;4000828629;4
